epoch,test_mse,test_mad,val_mse,val_mad
-1,0.2785481038093567,0.5040354595184326,0.2669878101348877,0.4919483852386475
0,0.028004068933427335,0.03311570391058922,0.031088693886995315,0.038136614710092546
1,0.027084335155785084,0.031851972237229347,0.042922493815422055,0.05104758843779564
2,0.019557888727635146,0.023474809519946575,0.022189993783831595,0.027870997413992883
3,0.03572825237363577,0.04159768079221249,0.031249180361628534,0.039602270424365996
4,0.01667012097686529,0.020240865349769592,0.01982797835022211,0.025053035542368887
5,0.017377938739955426,0.020899409629404543,0.017631733790040016,0.022739353142678737
6,0.016277526818215846,0.019619826406240465,0.015544615536928177,0.020348531380295753
7,0.015011375281959772,0.018129480622708798,0.01512798972427845,0.01964684806764126
8,0.014691976515576244,0.017742594301700592,0.012640963327139616,0.0171006827801466
9,0.014037138525396585,0.01705337729305029,0.011720274016261101,0.01614813420921564
10,0.014189015563577413,0.01725557713955641,0.012304937280714513,0.016776547357439994
11,0.014002595014870167,0.01701594581454992,0.011927693709731102,0.01633829828351736
12,0.01397813089005649,0.017017353661358356,0.011445660591125489,0.015880950391292573
13,0.013935777271166443,0.016947356849908828,0.011347947977483272,0.01575796287506819
14,0.013882311906665563,0.01693038436770439,0.012062877975404262,0.016604993864893912
15,0.013863739168271423,0.016868079021573067,0.010536116063594819,0.014841862432658672
16,0.014024587536230683,0.017066152229905127,0.01143833363428712,0.01585980273783207
17,0.013952471343800425,0.016965789549052715,0.010944341421127319,0.015370145998895168
18,0.013824770418927074,0.01682053891569376,0.010986860170960426,0.015349004827439785
19,0.013899602519348265,0.016914294712245464,0.011041527725756168,0.01543639212846756
20,0.0139797253459692,0.01704285568743944,0.011588291265070438,0.016049728132784366
21,0.013848153432831169,0.0168926932066679,0.011445217430591584,0.015830805525183678
22,0.01384751919656992,0.016835155449807643,0.011151732988655566,0.015481028035283088
23,0.013818761926144361,0.016826858654618262,0.011103630475699901,0.01546861007809639
24,0.013961901869624854,0.016965577960014345,0.011744881384074687,0.016159422248601913
25,0.01407760675251484,0.017126970753073692,0.012310514487326145,0.016816391944885253
26,0.013852013200521469,0.016866974472999573,0.011208865940570831,0.015580661557614804
27,0.01388760031014681,0.01690729109197855,0.011324483714997769,0.01567910399287939
28,0.0138335693590343,0.016840858593583106,0.012041798494756221,0.016467219665646553
29,0.013870673004537822,0.016879519917070866,0.011390367709100246,0.015749729052186013
30,0.013762992780655622,0.01675082691758871,0.010728487335145474,0.015009712055325508
31,0.013948303576558829,0.016993397377431392,0.011513539738953114,0.015921417511999606
32,0.013853923397138715,0.0168710228279233,0.010966776609420777,0.015279701352119446
33,0.013839424017816782,0.016881035439670088,0.011629036217927933,0.0160573859885335
34,0.013912866037338972,0.01690716119855642,0.010894911214709282,0.015312183946371079
35,0.013860468031838536,0.016858248725533487,0.011138248965144157,0.015454635806381702
36,0.013889066010713578,0.016908845365047456,0.011658488139510155,0.016079569682478905
37,0.013909260800108314,0.016915069356560706,0.011283450536429882,0.015663752146065236
38,0.013876034781336784,0.016886462807655333,0.011081265546381473,0.015478124395012855
39,0.013867468232288956,0.016867571488022804,0.011023054346442223,0.015341648831963539
