semantic_loss,detail_loss,matte_loss
0.2557593286037445,2.162543535232544,1.7417304515838623
0.1346248984336853,2.335907220840454,1.6334105730056763
0.11075358092784882,2.5659685134887695,1.6542370319366455
0.10089974105358124,1.5759968757629395,1.0496079921722412
0.09993837028741837,1.560948371887207,1.0127263069152832
0.0780278667807579,1.1553465127944946,0.8421245813369751
0.09016060829162598,0.5348871946334839,0.7703396677970886
0.057229138910770416,0.8503764867782593,0.7604753971099854
0.06867274641990662,0.9295339584350586,0.9202200770378113
0.0630856454372406,0.33988896012306213,0.637078583240509
0.049931734800338745,0.398800790309906,0.5711226463317871
0.06693720817565918,0.32895299792289734,0.625619649887085
0.05155346170067787,0.21155482530593872,0.532395601272583
0.027988189831376076,0.160692498087883,0.44229307770729065
0.05567420274019241,0.2135503590106964,0.55145263671875
0.05977211892604828,0.08585300296545029,0.5365075469017029
0.07761772722005844,0.3228384554386139,0.6920536756515503
0.04927732050418854,0.21161958575248718,0.5653151273727417
0.06652797758579254,0.27132657170295715,0.5265697240829468
0.05285599082708359,0.2506162226200104,0.493000864982605
0.04332612082362175,0.11854267120361328,0.4378070831298828
0.07892404496669769,0.24970296025276184,0.5835943222045898
0.05614234507083893,0.2007719874382019,0.5133904218673706
0.039098598062992096,0.10660620033740997,0.4427550435066223
0.0855993777513504,0.15773916244506836,0.5891794562339783
0.06954222917556763,0.10123318433761597,0.47663208842277527
0.04511597380042076,0.16384825110435486,0.5111970901489258
0.04952927678823471,0.15706735849380493,0.5052608251571655
0.09535174071788788,0.20367982983589172,0.5924469828605652
0.05906886234879494,0.12669715285301208,0.5452721118927002
0.0551900640130043,0.21654054522514343,0.574630618095398
0.055935051292181015,0.09757529944181442,0.4932340383529663
0.04435017704963684,0.10367444157600403,0.46003395318984985
0.060284994542598724,0.15763767063617706,0.5101696252822876
0.04948151484131813,0.12560416758060455,0.452635258436203
0.039142780005931854,0.09878803789615631,0.43781477212905884
0.0407458059489727,0.11367906630039215,0.33554890751838684
0.04497216269373894,0.15138587355613708,0.490822970867157
