epoch,test_mse,test_mad,val_mse,val_mad
-1,0.2690712766647339,0.4973855805397034,0.2641752088069916,0.49185680627822875
0,0.04252283574640751,0.049468476742506026,0.0616321736574173,0.07175167933106423
1,0.027383372697979212,0.032218998558819295,0.025213855877518655,0.03227208964526653
2,0.0212113893404603,0.025443364277482033,0.022449936158955096,0.028516636192798615
3,0.017522356528788804,0.021163395926356316,0.02068207934498787,0.026035269349813463
4,0.01894736745208502,0.02257324604690075,0.017437731586396693,0.02253449846059084
5,0.016840117752552033,0.020223272413015365,0.01639503188431263,0.021648032367229463
6,0.01649087067320943,0.01978597392141819,0.022068938985466958,0.027229847386479378
7,0.019943411007523535,0.023885558247566222,0.028352969400584696,0.0346312589943409
8,0.01493052832596004,0.017987602613866328,0.011104102246463299,0.015762144401669502
9,0.01440506082959473,0.017436327546834947,0.011418980974704028,0.01596573766320944
10,0.014257030114531517,0.017261713910847902,0.009855131413787603,0.014231484606862068
11,0.014103526569902897,0.017095421329140662,0.010621733646839857,0.015130066499114036
12,0.014134840996935964,0.01710321780666709,0.009828133638948203,0.014217937141656875
13,0.014177182069048286,0.01716830138862133,0.01058619236573577,0.01506267923861742
14,0.014146586546674372,0.017156648747622967,0.011257316637784242,0.015808432698249816
15,0.014054723177105188,0.017040484260767697,0.010880392827093601,0.015449652522802353
16,0.0141447639092803,0.017119110897183418,0.010834700502455235,0.015414357036352157
17,0.014032202074304223,0.016999195236712693,0.010730797778815032,0.01519366979598999
18,0.014063488405197859,0.017045817494392396,0.010906601920723916,0.015505199879407882
19,0.01406444705836475,0.01703724477440119,0.010302977785468102,0.014765944890677929
20,0.013994727401062846,0.01697536638379097,0.010461823102086782,0.014959078878164292
21,0.014067396845668554,0.017090870659798384,0.01122855432331562,0.015821053870022295
22,0.014059385659173132,0.017034682281315328,0.010480543226003647,0.014961884170770646
23,0.013966771967709065,0.016946132063865662,0.010172750893980264,0.014661209434270859
24,0.014030808357521891,0.01699588779732585,0.01064252108335495,0.015212106667459011
25,0.014107112992554903,0.01708418858796358,0.011221853159368038,0.015737354159355163
26,0.013956206742674112,0.016919190913438797,0.009518212880939245,0.013957726508378983
27,0.014055572466924786,0.017045376136898993,0.010338345915079117,0.014875285252928734
28,0.013967836314812302,0.01693778980523348,0.009799805767834187,0.014259567633271217
29,0.013990352872759104,0.016970473032444717,0.010482438988983631,0.014959330782294273
30,0.014114843608811498,0.017121218491345645,0.011029999684542418,0.015590542331337928
31,0.014037730243057012,0.017027647640556098,0.00995016798377037,0.014464567601680755
32,0.014022525174543261,0.016986252892762423,0.009972098171710969,0.014354265667498112
33,0.013975932978093623,0.016944786939769984,0.009445053674280644,0.013867387920618058
34,0.014089899446815253,0.01706647779420018,0.010495240855962039,0.015018671676516533
35,0.013992615265771747,0.016962631963193416,0.010402787178754806,0.01490093134343624
36,0.014103373302146793,0.017073029540479182,0.009973895512521267,0.014368460029363633
37,0.014052843851968646,0.0170515429712832,0.01019080551341176,0.014676925763487815
38,0.014023376083001495,0.016994301971048117,0.01020531814545393,0.014705234281718731
39,0.013986522860825062,0.016983416646718978,0.010756824538111687,0.01526800476014614
